year,wildfires,ha_forest,total
1986,563,65811.71,
1987,352,1945.4,
1988,646,3084.13,
1989,670,6515.06,
1990,590,1185.92,
1991,782,5386.32,
1992,368,1592.4,
1993,791,6958.39,
1994,1216,75702.1,
1995,754,7344.97,
1996,463,821.35,
1997,672,920.92,
1998,961,18361.1,624.0
1999,841,1298.25,1044.0
2000,790,8058.45,665.0
2001,723,3010.02,945.0
2002,544,2039.77,483.0
2003,701,9441.85,1326.0
2004,565,1048.35,159.0
2005,893,5176.27,890.0
2006,629,3287.77,439.0
2007,578,1590.86,667.0
2008,421,554.95,476.0
2009,746,3461.74,536.0
2010,475,618.13,78.0
2011,586,1096.65,58.0
2012,747,15025.67,201.0
2013,602,1068.51,59.0
2014,462,1571.29,124.0
2015,509,1602.32,100.0
2016,560,2011.01,153.0
2017,629,1294.11,188.0
2018,312,141.33,111.0
2019,545,5077.68,190.0
2020,289,132.43,46.0
2021,607,2422.28,153.0
2022,643,5834.66,608.0
2023,617,1398.19,
2024,251,174.06,
